2020-10-09 14:48:56,576 p=325053 u=mistral n=ansible | Using /var/lib/mistral/vran/ansible.cfg as config file
2020-10-09 14:48:56,673 p=325053 u=mistral n=ansible | [WARNING]: Skipping key (deprecated) in group (overcloud) as it is not a
mapping, it is a <class 'ansible.parsing.yaml.objects.AnsibleUnicode'>

2020-10-09 14:48:57,549 p=325053 u=mistral n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: ComputePPC64LE

2020-10-09 14:48:57,624 p=325053 u=mistral n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: BlockStorage

2020-10-09 14:48:57,658 p=325053 u=mistral n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: ObjectStorage

2020-10-09 14:48:57,685 p=325053 u=mistral n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: CephStorage

2020-10-09 14:48:58,367 p=325053 u=mistral n=ansible | PLAY [Gather facts from undercloud] ********************************************
2020-10-09 14:48:58,380 p=325053 u=mistral n=ansible | TASK [Gathering Facts] *********************************************************
2020-10-09 14:48:58,381 p=325053 u=mistral n=ansible | Friday 09 October 2020  14:48:58 -0500 (0:00:00.086)       0:00:00.086 ******** 
2020-10-09 14:48:58,381 p=325053 u=mistral n=ansible | [WARNING]: Failure using method (v2_runner_on_start) in callback plugin
(<ansible.plugins.callback.tripleo.CallbackModule object at 0x7fec657f9908>):
'show_per_host_start'

2020-10-09 14:49:00,410 p=325053 u=mistral n=ansible | ok: [undercloud]
2020-10-09 14:49:00,435 p=325053 u=mistral n=ansible | PLAY [Gather facts from overcloud] *********************************************
2020-10-09 14:49:00,469 p=325053 u=mistral n=ansible | TASK [Gathering Facts] *********************************************************
2020-10-09 14:49:00,469 p=325053 u=mistral n=ansible | Friday 09 October 2020  14:49:00 -0500 (0:00:02.088)       0:00:02.174 ******** 
2020-10-09 14:49:32,137 p=325053 u=mistral n=ansible | ok: [vran-novacompute-0]
2020-10-09 14:49:32,183 p=325053 u=mistral n=ansible | ok: [vran-controller-0]
2020-10-09 14:49:32,385 p=325053 u=mistral n=ansible | ok: [vran-computert-0]
2020-10-09 14:49:32,684 p=325053 u=mistral n=ansible | ok: [vran-controllerb-0]
2020-10-09 14:49:32,768 p=325053 u=mistral n=ansible | ok: [vran-controllerb-1]
2020-10-09 14:49:32,795 p=325053 u=mistral n=ansible | PLAY [Load global variables] ***************************************************
2020-10-09 14:49:32,852 p=325053 u=mistral n=ansible | TASK [include_vars] ************************************************************
2020-10-09 14:49:32,852 p=325053 u=mistral n=ansible | Friday 09 October 2020  14:49:32 -0500 (0:00:32.382)       0:00:34.557 ******** 
2020-10-09 14:49:32,926 p=325053 u=mistral n=ansible | ok: [undercloud] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,009 p=325053 u=mistral n=ansible | ok: [vran-novacompute-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,075 p=325053 u=mistral n=ansible | ok: [vran-computert-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,136 p=325053 u=mistral n=ansible | ok: [vran-controller-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,196 p=325053 u=mistral n=ansible | ok: [vran-controllerb-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,247 p=325053 u=mistral n=ansible | ok: [vran-controllerb-1] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": false}
2020-10-09 14:49:33,254 p=325053 u=mistral n=ansible | PLAY [Ensure /var/lib/config-data context] *************************************
2020-10-09 14:49:33,319 p=325053 u=mistral n=ansible | TASK [Ensure /var/lib/config-data context] *************************************
2020-10-09 14:49:33,319 p=325053 u=mistral n=ansible | Friday 09 October 2020  14:49:33 -0500 (0:00:00.467)       0:00:35.024 ******** 
2020-10-09 14:49:33,788 p=325053 u=mistral n=ansible | ok: [vran-novacompute-0] => {"changed": false, "cmd": "set -o pipefail\nif [[ -e /var/lib/config-data ]]; then\n  chcon -R -t svirt_sandbox_file_t /var/lib/config-data\nexit 2\nfi", "delta": "0:00:00.001714", "end": "2020-10-09 10:49:39.584884", "failed_when_result": false, "rc": 0, "start": "2020-10-09 10:49:39.583170", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2020-10-09 14:49:33,790 p=325053 u=mistral n=ansible | ok: [vran-controller-0] => {"changed": false, "cmd": "set -o pipefail\nif [[ -e /var/lib/config-data ]]; then\n  chcon -R -t svirt_sandbox_file_t /var/lib/config-data\nexit 2\nfi", "delta": "0:00:00.001632", "end": "2020-10-09 15:50:07.704426", "failed_when_result": false, "rc": 0, "start": "2020-10-09 15:50:07.702794", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2020-10-09 14:49:33,792 p=325053 u=mistral n=ansible | ok: [vran-computert-0] => {"changed": false, "cmd": "set -o pipefail\nif [[ -e /var/lib/config-data ]]; then\n  chcon -R -t svirt_sandbox_file_t /var/lib/config-data\nexit 2\nfi", "delta": "0:00:00.002066", "end": "2020-10-09 15:50:32.789492", "failed_when_result": false, "rc": 0, "start": "2020-10-09 15:50:32.787426", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2020-10-09 14:49:33,844 p=325053 u=mistral n=ansible | ok: [vran-controllerb-0] => {"changed": false, "cmd": "set -o pipefail\nif [[ -e /var/lib/config-data ]]; then\n  chcon -R -t svirt_sandbox_file_t /var/lib/config-data\nexit 2\nfi", "delta": "0:00:00.001882", "end": "2020-10-09 15:50:03.411449", "failed_when_result": false, "rc": 0, "start": "2020-10-09 15:50:03.409567", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2020-10-09 14:49:33,845 p=325053 u=mistral n=ansible | ok: [vran-controllerb-1] => {"changed": false, "cmd": "set -o pipefail\nif [[ -e /var/lib/config-data ]]; then\n  chcon -R -t svirt_sandbox_file_t /var/lib/config-data\nexit 2\nfi", "delta": "0:00:00.001928", "end": "2020-10-09 15:50:08.999234", "failed_when_result": false, "rc": 0, "start": "2020-10-09 15:50:08.997306", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
